Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Be 8 Alpha 2",nuclet,N0,lithium,N0,0,0,0,0,0,0
"Be 8 Alpha 2",proton,N0,lithium,P1,80.901699437495,-50,0,80.901699437495,-50,0
"Be 8 Alpha 2",proton,N0,lithium,P3,-80.901699437495,-50,0,-80.901699437495,-50,0
"Be 8 Alpha 2",proton,N0,lithium,P4,50,0,-80.901699437495,50,0,-80.901699437495
"Be 8 Alpha 2",proton,N0,lithium,P5,-50,0,-80.901699437495,-50,0,-80.901699437495
"Be 8 Alpha 2",proton,N0,lithium,P9,0,8.08,4.9945,0,8.08,4.9945
"Be 8 Alpha 2",proton,N0,lithium,P10,0,-80.901699437495,-50,0,-80.901699437495,-50
"Be 8 Alpha 2",proton,N0,lithium,P11,0,-80.901699437495,50,0,-80.901699437495,50
"Be 8 Alpha 2",neutron,N0,lithium,U03,55.911185400073,-6.4821344777925,86.460280691993,55.911185400073,-6.4821344777925,86.460280691993
"Be 8 Alpha 2",electron,N0,lithium,E01,-40.450849718747,-20.96,2.49725,-40.450849718747,-20.96,2.49725
"Be 8 Alpha 2",electron,N0,lithium,E02,-25,-40.450849718747,-65.450849718747,-25,-40.450849718747,-65.450849718747
"Be 8 Alpha 2",electron,N0,lithium,E03,65.450849718747,-25,-40.450849718747,65.450849718747,-25,-40.450849718747
"Be 8 Alpha 2",electron,N0,lithium,E04,27.955592700037,-43.691916957644,68.230140345996,27.955592700037,-43.691916957644,68.230140345996
