Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Beryllium Alpha decay",nuclet,N0,lithium,N0,0,0,0,0,0,0
"Beryllium Alpha decay",proton,N0,lithium,P1,80.901699437495,-50,0,80.901699437495,-50,0
"Beryllium Alpha decay",proton,N0,lithium,P3,-80.901699437495,-50,0,-80.901699437495,-50,0
"Beryllium Alpha decay",proton,N0,lithium,P4,50,0,-80.901699437495,50,0,-80.901699437495
"Beryllium Alpha decay",proton,N0,lithium,P5,-50,0,-80.901699437495,-50,0,-80.901699437495
"Beryllium Alpha decay",proton,N0,lithium,P9,0,8.08,4.9945,0,8.08,4.9945
"Beryllium Alpha decay",proton,N0,lithium,P10,0,-80.901699437495,-50,0,-80.901699437495,-50
"Beryllium Alpha decay",proton,N0,lithium,P11,0,-80.901699437495,50,0,-80.901699437495,50
"Beryllium Alpha decay",neutron,N0,lithium,U03,55.911185400073,-6.4821344777925,86.460280691993,55.911185400073,-6.4821344777925,86.460280691993
"Beryllium Alpha decay",electron,N0,lithium,E01,0,0,-80.901699437495,0,0,-80.901699437495
"Beryllium Alpha decay",electron,N0,lithium,E02,0,-36.410849718747,-22.50275,0,-36.410849718747,-22.50275
"Beryllium Alpha decay",electron,N0,lithium,E03,68.406442418784,-28.241067238896,43.230140345996,68.406442418784,-28.241067238896,43.230140345996
"Beryllium Alpha decay",electron,N0,lithium,E04,-40.450849718747,-65.450849718747,25,-40.450849718747,-65.450849718747,25
