Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Carbon 13",nuclet,N0,carbon,N0,0,0,0,0,0,0
"Carbon 13",proton,N0,carbon,P0,80.901699437495,50,0,80.901699437495,50,0
"Carbon 13",proton,N0,carbon,P1,80.901699437495,-50,0,80.901699437495,-50,0
"Carbon 13",proton,N0,carbon,P2,-80.901699437495,50,0,-80.901699437495,50,0
"Carbon 13",proton,N0,carbon,P3,-80.901699437495,-50,0,-80.901699437495,-50,0
"Carbon 13",proton,N0,carbon,P4,50,0,-80.901699437495,50,0,-80.901699437495
"Carbon 13",proton,N0,carbon,P5,-50,0,-80.901699437495,-50,0,-80.901699437495
"Carbon 13",proton,N0,carbon,P6,-50,0,80.901699437495,-50,0,80.901699437495
"Carbon 13",proton,N0,carbon,P7,50,0,80.901699437495,50,0,80.901699437495
"Carbon 13",proton,N0,carbon,P8,0,80.901699437495,-50,0,80.901699437495,-50
"Carbon 13",proton,N0,carbon,P9,0,80.901699437495,50,0,80.901699437495,50
"Carbon 13",proton,N0,carbon,P10,0,-80.901699437495,-50,0,-80.901699437495,-50
"Carbon 13",proton,N0,carbon,P11,0,-80.901699437495,50,0,-80.901699437495,50
"Carbon 13",neutron,N0,carbon,U04,90.774351891601,90.774351891601,90.774351891601,90.774351891601,90.774351891601,90.774351891601
"Carbon 13",electron,N0,carbon,E01,0,80.901699437495,0,0,80.901699437495,0
"Carbon 13",electron,N0,carbon,E02,80.901699437495,0,0,80.901699437495,0,0
"Carbon 13",electron,N0,carbon,E03,-80.901699437495,0,0,-80.901699437495,0,0
"Carbon 13",electron,N0,carbon,E04,0,0,80.901699437495,0,0,80.901699437495
"Carbon 13",electron,N0,carbon,E05,0,-80.901699437495,0,0,-80.901699437495,0
"Carbon 13",electron,N0,carbon,E06,0,0,-80.901699437495,0,0,-80.901699437495
