Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Carbon 14 ",nuclet,N0,carbon,N0,0,0,0,0,0,0
"Carbon 14 ",proton,N0,carbon,P0,80.901699437495,50,0,80.901699437495,50,0
"Carbon 14 ",proton,N0,carbon,P1,80.901699437495,-50,0,80.901699437495,-50,0
"Carbon 14 ",proton,N0,carbon,P2,-80.901699437495,50,0,-80.901699437495,50,0
"Carbon 14 ",proton,N0,carbon,P3,-80.901699437495,-50,0,-80.901699437495,-50,0
"Carbon 14 ",proton,N0,carbon,P4,50,0,-80.901699437495,50,0,-80.901699437495
"Carbon 14 ",proton,N0,carbon,P5,-50,0,-80.901699437495,-50,0,-80.901699437495
"Carbon 14 ",proton,N0,carbon,P6,-50,0,80.901699437495,-50,0,80.901699437495
"Carbon 14 ",proton,N0,carbon,P7,50,0,80.901699437495,50,0,80.901699437495
"Carbon 14 ",proton,N0,carbon,P8,0,80.901699437495,-50,0,80.901699437495,-50
"Carbon 14 ",proton,N0,carbon,P9,0,80.901699437495,50,0,80.901699437495,50
"Carbon 14 ",proton,N0,carbon,P10,0,-80.901699437495,-50,0,-80.901699437495,-50
"Carbon 14 ",proton,N0,carbon,P11,0,-80.901699437495,50,0,-80.901699437495,50
"Carbon 14 ",neutron,N0,carbon,U02,146.87598666735,0,-56.101634775753,146.87598666735,0,-56.101634775753
"Carbon 14 ",neutron,N0,carbon,U13,-146.87598666735,0,56.101634775753,-146.87598666735,0,56.101634775753
"Carbon 14 ",electron,N0,carbon,E01,0,80.901699437495,0,0,80.901699437495,0
"Carbon 14 ",electron,N0,carbon,E02,0,0,-80.901699437495,0,0,-80.901699437495
"Carbon 14 ",electron,N0,carbon,E03,0,0,80.901699437495,0,0,80.901699437495
"Carbon 14 ",electron,N0,carbon,E04,-80.901699437495,0,0,-80.901699437495,0,0
"Carbon 14 ",electron,N0,carbon,E05,0,-80.901699437495,0,0,-80.901699437495,0
"Carbon 14 ",electron,N0,carbon,E06,80.901699437495,0,0,80.901699437495,0,0
"Carbon 14 ",electron,N0,carbon,E07,-98.437993333677,0,68.501667106624,-98.437993333677,0,68.501667106624
"Carbon 14 ",electron,N0,carbon,E08,98.437993333677,0,-68.501667106624,98.437993333677,0,-68.501667106624
