Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Carbon 14 pre-decay ",nuclet,N0,carbon,N0,0,0,0,0,0,0
"Carbon 14 pre-decay ",proton,N0,carbon,P0,80.901699437495,50,0,80.901699437495,50,0
"Carbon 14 pre-decay ",proton,N0,carbon,P1,80.901699437495,-50,0,80.901699437495,-50,0
"Carbon 14 pre-decay ",proton,N0,carbon,P2,-80.901699437495,50,0,-80.901699437495,50,0
"Carbon 14 pre-decay ",proton,N0,carbon,P3,-80.901699437495,-50,0,-80.901699437495,-50,0
"Carbon 14 pre-decay ",proton,N0,carbon,P4,50,0,-80.901699437495,50,0,-80.901699437495
"Carbon 14 pre-decay ",proton,N0,carbon,P5,-50,0,-80.901699437495,-50,0,-80.901699437495
"Carbon 14 pre-decay ",proton,N0,carbon,P6,-50,0,80.901699437495,-50,0,80.901699437495
"Carbon 14 pre-decay ",proton,N0,carbon,P7,50,0,80.901699437495,50,0,80.901699437495
"Carbon 14 pre-decay ",proton,N0,carbon,P8,0,80.901699437495,-50,0,80.901699437495,-50
"Carbon 14 pre-decay ",proton,N0,carbon,P9,0,80.901699437495,50,0,80.901699437495,50
"Carbon 14 pre-decay ",proton,N0,carbon,P10,0,-80.901699437495,-50,0,-80.901699437495,-50
"Carbon 14 pre-decay ",proton,N0,carbon,P11,0,-80.901699437495,50,0,-80.901699437495,50
"Carbon 14 pre-decay ",neutron,N0,carbon,U03,146.87598666735,0,56.101634775753,146.87598666735,0,56.101634775753
"Carbon 14 pre-decay ",neutron,N0,carbon,U04,90.774351891601,90.774351891601,90.774351891601,90.774351891601,90.774351891601,90.774351891601
"Carbon 14 pre-decay ",electron,N0,carbon,E01,40.450849718747,65.450849718747,25,40.450849718747,65.450849718747,25
"Carbon 14 pre-decay ",electron,N0,carbon,E02,-25,40.450849718747,-65.450849718747,-25,40.450849718747,-65.450849718747
"Carbon 14 pre-decay ",electron,N0,carbon,E03,-65.450849718747,25,40.450849718747,-65.450849718747,25,40.450849718747
"Carbon 14 pre-decay ",electron,N0,carbon,E04,-40.450849718747,-65.450849718747,-25,-40.450849718747,-65.450849718747,-25
"Carbon 14 pre-decay ",electron,N0,carbon,E05,65.450849718747,-25,-40.450849718747,65.450849718747,-25,-40.450849718747
"Carbon 14 pre-decay ",electron,N0,carbon,E06,25,-40.450849718747,65.450849718747,25,-40.450849718747,65.450849718747
"Carbon 14 pre-decay ",electron,N0,carbon,E07,70.387175945801,45.387175945801,85.838025664548,70.387175945801,45.387175945801,85.838025664548
"Carbon 14 pre-decay ",electron,N0,carbon,E08,113.88884305242,25,28.050817387876,113.88884305242,25,28.050817387876
