Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Nitrogen 16",nuclet,N0,initial,N0,0,0,0,0,0,0
"Nitrogen 16",proton,N0,initial,P0,67.9,51.8,0,67.9,51.8,0
"Nitrogen 16",proton,N0,initial,P1,77.1,-47.5,0,77.1,-47.5,0
"Nitrogen 16",proton,N0,initial,P2,-67.9,51.8,0,-67.9,51.8,0
"Nitrogen 16",proton,N0,initial,P3,-77.1,-47.5,0,-77.1,-47.5,0
"Nitrogen 16",proton,N0,initial,P4,49.5,0,-82.55,49.5,0,-82.55
"Nitrogen 16",proton,N0,initial,P5,-49.5,0,-82.55,-49.5,0,-82.55
"Nitrogen 16",proton,N0,initial,P6,-49.5,0,82.55,-49.5,0,82.55
"Nitrogen 16",proton,N0,initial,P7,49.5,0,82.55,49.5,0,82.55
"Nitrogen 16",proton,N0,initial,P8,0,83.7,-64.55,0,83.7,-64.55
"Nitrogen 16",proton,N0,initial,P9,0,83.7,64.55,0,83.7,64.55
"Nitrogen 16",proton,N0,initial,P10,0,-80.25,-50,0,-80.25,-50
"Nitrogen 16",proton,N0,initial,P11,0,-80.25,50,0,-80.25,50
"Nitrogen 16",proton,N0,initial,P12,95.95,87.15,88.25,95.95,87.15,88.25
"Nitrogen 16",proton,N0,initial,P13,142.75,8.6,49.85,142.75,8.6,49.85
"Nitrogen 16",proton,N0,initial,P14,142.75,8.6,-49.85,142.75,8.6,-49.85
"Nitrogen 16",proton,N0,initial,P17,-142.75,8.6,-49.85,-142.75,8.6,-49.85
"Nitrogen 16",electron,N0,initial,E01,33.95,67.75,32.275,33.95,67.75,32.275
"Nitrogen 16",electron,N0,initial,E02,-24.75,41.85,-73.55,-24.75,41.85,-73.55
"Nitrogen 16",electron,N0,initial,E03,-58.7,25.9,41.275,-58.7,25.9,41.275
"Nitrogen 16",electron,N0,initial,E04,-38.55,-63.875,-25,-38.55,-63.875,-25
"Nitrogen 16",electron,N0,initial,E05,24.75,-40.125,66.275,24.75,-40.125,66.275
"Nitrogen 16",electron,N0,initial,E06,63.3,-23.75,-41.275,63.3,-23.75,-41.275
"Nitrogen 16",electron,N0,initial,E07,119.35,47.875,69.05,119.35,47.875,69.05
