Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Sodium 22 B",nuclet,N0,final,N0,0,0,0,0,0,0
"Sodium 22 B",proton,N0,final,P0,61.11,51.8,0,61.11,51.8,0
"Sodium 22 B",proton,N0,final,P1,77.1,-47.5,0,77.1,-47.5,0
"Sodium 22 B",proton,N0,final,P2,-61.11,51.8,0,-61.11,51.8,0
"Sodium 22 B",proton,N0,final,P3,-77.1,-47.5,0,-77.1,-47.5,0
"Sodium 22 B",proton,N0,final,P4,49.5,0,-82.55,49.5,0,-82.55
"Sodium 22 B",proton,N0,final,P5,-49.5,0,-82.55,-49.5,0,-82.55
"Sodium 22 B",proton,N0,final,P6,-49.5,0,82.55,-49.5,0,82.55
"Sodium 22 B",proton,N0,final,P7,49.5,0,82.55,49.5,0,82.55
"Sodium 22 B",proton,N0,final,P8,0,83.7,-71.005,0,83.7,-71.005
"Sodium 22 B",proton,N0,final,P9,0,83.7,71.005,0,83.7,71.005
"Sodium 22 B",proton,N0,final,P10,0,-80.25,-50,0,-80.25,-50
"Sodium 22 B",proton,N0,final,P11,0,-80.25,50,0,-80.25,50
"Sodium 22 B",proton,N0,final,P12,95.95,87.15,88.25,95.95,87.15,88.25
"Sodium 22 B",proton,N0,final,P13,142.75,8.6,49.85,142.75,8.6,49.85
"Sodium 22 B",proton,N0,final,P14,142.75,8.6,-49.85,142.75,8.6,-49.85
"Sodium 22 B",proton,N0,final,P15,95.95,87.15,-88.25,95.95,87.15,-88.25
"Sodium 22 B",proton,N0,final,P16,-95.95,87.15,-88.25,-95.95,87.15,-88.25
"Sodium 22 B",proton,N0,final,P17,-142.75,8.6,-49.85,-142.75,8.6,-49.85
"Sodium 22 B",proton,N0,final,P18,-142.75,8.6,49.85,-142.75,8.6,49.85
"Sodium 22 B",proton,N0,final,P19,-95.95,87.15,88.25,-95.95,87.15,88.25
"Sodium 22 B",neutron,N0,final,U00,142.5,95,0,142.5,95,0
"Sodium 22 B",neutron,N0,final,U10,-142.5,95,0,-142.5,95,0
"Sodium 22 B",electron,N0,final,E01,-30.555,67.75,-35.5025,-30.555,67.75,-35.5025
"Sodium 22 B",electron,N0,final,E02,-24.75,-40.125,-66.275,-24.75,-40.125,-66.275
"Sodium 22 B",electron,N0,final,E03,55.305,25.9,-41.275,55.305,25.9,-41.275
"Sodium 22 B",electron,N0,final,E04,38.55,-63.875,25,38.55,-63.875,25
"Sodium 22 B",electron,N0,final,E05,24.75,41.85,76.7775,24.75,41.85,76.7775
"Sodium 22 B",electron,N0,final,E06,-63.3,-23.75,41.275,-63.3,-23.75,41.275
"Sodium 22 B",electron,N0,final,E07,119.35,47.875,69.05,119.35,47.875,69.05
"Sodium 22 B",electron,N0,final,E08,119.35,47.875,-69.05,119.35,47.875,-69.05
