Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Max isotope Magnesium 34",nuclet,N0,final,N0,0,0,0,0,0,0
"Max isotope Magnesium 34",proton,N0,final,P0,61.11,51.8,0,61.11,51.8,0
"Max isotope Magnesium 34",proton,N0,final,P1,77.1,-47.5,0,77.1,-47.5,0
"Max isotope Magnesium 34",proton,N0,final,P2,-61.11,51.8,0,-61.11,51.8,0
"Max isotope Magnesium 34",proton,N0,final,P3,-77.1,-47.5,0,-77.1,-47.5,0
"Max isotope Magnesium 34",proton,N0,final,P4,49.5,0,-82.55,49.5,0,-82.55
"Max isotope Magnesium 34",proton,N0,final,P5,-49.5,0,-82.55,-49.5,0,-82.55
"Max isotope Magnesium 34",proton,N0,final,P6,-49.5,0,82.55,-49.5,0,82.55
"Max isotope Magnesium 34",proton,N0,final,P7,49.5,0,82.55,49.5,0,82.55
"Max isotope Magnesium 34",proton,N0,final,P8,0,83.7,-71.005,0,83.7,-71.005
"Max isotope Magnesium 34",proton,N0,final,P9,0,83.7,71.005,0,83.7,71.005
"Max isotope Magnesium 34",proton,N0,final,P10,0,-80.25,-50,0,-80.25,-50
"Max isotope Magnesium 34",proton,N0,final,P11,0,-80.25,50,0,-80.25,50
"Max isotope Magnesium 34",nuclet,N00,lithium,N00,144.8307,88.476,0,0,0,0
"Max isotope Magnesium 34",proton,N00,lithium,P1,142.09806485262,7.324586413863,-49.518337512459,80.901699437495,-50,0
"Max isotope Magnesium 34",proton,N00,lithium,P3,94.583761014709,90.761342377507,80.716214633125,-80.901699437495,-50,0
"Max isotope Magnesium 34",proton,N00,lithium,P4,95.142741745618,89.779752938833,-81.083241207169,50,0,-80.901699437495
"Max isotope Magnesium 34",proton,N00,lithium,P5,65.777287021998,141.3465040354,-0.59386147157771,-50,0,-80.901699437495
"Max isotope Magnesium 34",proton,N00,lithium,P9,153.08540058904,93.176143431657,0.00039644914850445,0,8.08,4.9945
"Max isotope Magnesium 34",proton,N00,lithium,P11,141.75259576186,7.9312420499614,50.479225558081,0,-80.901699437495,50
"Max isotope Magnesium 34",neutron,N00,lithium,U00,141.65171236973,174.77191671432,-56.446608112843,0,83.984128455638,-59.916416272255
"Max isotope Magnesium 34",neutron,N00,lithium,U01,141.2651802318,175.4503593714,55.372513178428,-90.465874909395,49.429214386257,-4.0056930751799
"Max isotope Magnesium 34",neutron,N00,lithium,U02,193.7713754951,83.247150361746,90.669334789174,-55.911185400073,-6.4821344777925,86.460280691993
"Max isotope Magnesium 34",neutron,N00,lithium,U03,226.6085231633,25.583986740959,0.66420212650302,55.911185400073,-6.4821344777925,86.460280691993
"Max isotope Magnesium 34",neutron,N00,lithium,U04,194.39661130549,82.149734287686,-90.258329995468,90.465874909395,49.429214386257,-4.0056930751799
"Max isotope Magnesium 34",nuclet,N01,lithium,N01,-144.8307,88.476,0,0,0,0
"Max isotope Magnesium 34",proton,N01,lithium,P1,-142.09806485262,7.3245864138631,49.518337512459,80.901699437495,-50,0
"Max isotope Magnesium 34",proton,N01,lithium,P3,-94.583761014709,90.761342377507,-80.716214633125,-80.901699437495,-50,0
"Max isotope Magnesium 34",proton,N01,lithium,P4,-95.142741745618,89.779752938833,81.083241207169,50,0,-80.901699437495
"Max isotope Magnesium 34",proton,N01,lithium,P5,-65.777287021998,141.3465040354,0.5938614715777,-50,0,-80.901699437495
"Max isotope Magnesium 34",proton,N01,lithium,P9,-153.08540058904,93.176143431657,-0.00039644914850401,0,8.08,4.9945
"Max isotope Magnesium 34",proton,N01,lithium,P11,-141.75259576186,7.9312420499614,-50.479225558081,0,-80.901699437495,50
"Max isotope Magnesium 34",neutron,N01,lithium,U00,-141.65171236973,174.77191671432,56.446608112843,0,83.984128455638,-59.916416272255
"Max isotope Magnesium 34",neutron,N01,lithium,U01,-141.2651802318,175.4503593714,-55.372513178428,-90.465874909395,49.429214386257,-4.0056930751799
"Max isotope Magnesium 34",neutron,N01,lithium,U02,-193.7713754951,83.247150361746,-90.669334789174,-55.911185400073,-6.4821344777925,86.460280691993
"Max isotope Magnesium 34",neutron,N01,lithium,U03,-226.6085231633,25.583986740959,-0.664202126503,55.911185400073,-6.4821344777925,86.460280691993
"Max isotope Magnesium 34",neutron,N01,lithium,U04,-194.39661130549,82.149734287686,90.258329995468,90.465874909395,49.429214386257,-4.0056930751799
