Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Mg 24 IT B",nuclet,N0,final,N0,0,0,0,0,0,0
"Mg 24 IT B",proton,N0,final,P0,61.11,51.8,0,61.11,51.8,0
"Mg 24 IT B",proton,N0,final,P1,77.1,-47.5,0,77.1,-47.5,0
"Mg 24 IT B",proton,N0,final,P2,-61.11,51.8,0,-61.11,51.8,0
"Mg 24 IT B",proton,N0,final,P3,-77.1,-47.5,0,-77.1,-47.5,0
"Mg 24 IT B",proton,N0,final,P4,49.5,0,-82.55,49.5,0,-82.55
"Mg 24 IT B",proton,N0,final,P5,-49.5,0,-82.55,-49.5,0,-82.55
"Mg 24 IT B",proton,N0,final,P6,-49.5,0,82.55,-49.5,0,82.55
"Mg 24 IT B",proton,N0,final,P7,49.5,0,82.55,49.5,0,82.55
"Mg 24 IT B",proton,N0,final,P8,0,83.7,-71.005,0,83.7,-71.005
"Mg 24 IT B",proton,N0,final,P9,0,83.7,71.005,0,83.7,71.005
"Mg 24 IT B",proton,N0,final,P10,0,-80.25,-50,0,-80.25,-50
"Mg 24 IT B",proton,N0,final,P11,0,-80.25,50,0,-80.25,50
"Mg 24 IT B",electron,N0,final,E01,-30.555,67.75,-35.5025,-30.555,67.75,-35.5025
"Mg 24 IT B",electron,N0,final,E02,-24.75,-40.125,-66.275,-24.75,-40.125,-66.275
"Mg 24 IT B",electron,N0,final,E03,-63.3,-23.75,41.275,-63.3,-23.75,41.275
"Mg 24 IT B",electron,N0,final,E04,38.55,-63.875,25,38.55,-63.875,25
"Mg 24 IT B",electron,N0,final,E05,55.305,25.9,-41.275,55.305,25.9,-41.275
"Mg 24 IT B",electron,N0,final,E06,24.75,41.85,76.7775,24.75,41.85,76.7775
"Mg 24 IT B",nuclet,N00,lithium,N00,144.8307,88.476,0,0,0,0
"Mg 24 IT B",proton,N00,lithium,P1,142.09806485262,7.324586413863,-49.518337512459,80.901699437495,-50,0
"Mg 24 IT B",proton,N00,lithium,P3,94.583761014709,90.761342377507,80.716214633125,-80.901699437495,-50,0
"Mg 24 IT B",proton,N00,lithium,P4,95.142741745618,89.779752938833,-81.083241207169,50,0,-80.901699437495
"Mg 24 IT B",proton,N00,lithium,P5,65.777287021998,141.3465040354,-0.59386147157771,-50,0,-80.901699437495
"Mg 24 IT B",proton,N00,lithium,P9,153.08540058904,93.176143431657,0.00039644914850445,0,8.08,4.9945
"Mg 24 IT B",proton,N00,lithium,P11,141.75259576186,7.9312420499614,50.479225558081,0,-80.901699437495,50
"Mg 24 IT B",electron,N00,lithium,E01,118.16817838829,49.346292213734,65.597720095603,-40.450849718747,-65.450849718747,25
"Mg 24 IT B",electron,N00,lithium,E02,118.62040329912,48.552169676348,-65.300789359814,65.450849718747,-25,-40.450849718747
"Mg 24 IT B",electron,N00,lithium,E03,109.43134380552,117.26132373353,-0.2967325112146,-25,4.04,-37.953599718747
"Mg 24 IT B",nuclet,N01,lithium,N01,-144.8307,88.476,0,0,0,0
"Mg 24 IT B",proton,N01,lithium,P1,-142.09806485262,7.3245864138631,49.518337512459,80.901699437495,-50,0
"Mg 24 IT B",proton,N01,lithium,P3,-94.583761014709,90.761342377507,-80.716214633125,-80.901699437495,-50,0
"Mg 24 IT B",proton,N01,lithium,P4,-95.142741745618,89.779752938833,81.083241207169,50,0,-80.901699437495
"Mg 24 IT B",proton,N01,lithium,P5,-65.777287021998,141.3465040354,0.5938614715777,-50,0,-80.901699437495
"Mg 24 IT B",proton,N01,lithium,P9,-153.08540058904,93.176143431657,-0.00039644914850401,0,8.08,4.9945
"Mg 24 IT B",proton,N01,lithium,P11,-141.75259576186,7.9312420499614,-50.479225558081,0,-80.901699437495,50
"Mg 24 IT B",electron,N01,lithium,E01,-118.62040329912,48.552169676348,65.300789359814,65.450849718747,-25,-40.450849718747
"Mg 24 IT B",electron,N01,lithium,E02,-118.16817838829,49.346292213734,-65.597720095603,-40.450849718747,-65.450849718747,25
"Mg 24 IT B",electron,N01,lithium,E03,-109.43134380552,117.26132373353,0.29673251121459,-25,4.04,-37.953599718747
