Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
CarbonLilthium,nuclet,N0,initial,N0,0,0,0,0,0,0
CarbonLilthium,proton,N0,initial,P0,67.9,51.8,0,67.9,51.8,0
CarbonLilthium,proton,N0,initial,P1,77.1,-47.5,0,77.1,-47.5,0
CarbonLilthium,proton,N0,initial,P2,-67.9,51.8,0,-67.9,51.8,0
CarbonLilthium,proton,N0,initial,P3,-77.1,-47.5,0,-77.1,-47.5,0
CarbonLilthium,proton,N0,initial,P4,49.5,0,-82.55,49.5,0,-82.55
CarbonLilthium,proton,N0,initial,P5,-49.5,0,-82.55,-49.5,0,-82.55
CarbonLilthium,proton,N0,initial,P6,-49.5,0,82.55,-49.5,0,82.55
CarbonLilthium,proton,N0,initial,P7,49.5,0,82.55,49.5,0,82.55
CarbonLilthium,proton,N0,initial,P8,0,83.7,-64.55,0,83.7,-64.55
CarbonLilthium,proton,N0,initial,P9,0,83.7,64.55,0,83.7,64.55
CarbonLilthium,proton,N0,initial,P10,0,-80.25,-50,0,-80.25,-50
CarbonLilthium,proton,N0,initial,P11,0,-80.25,50,0,-80.25,50
CarbonLilthium,electron,N0,initial,E01,-33.95,67.75,-32.275,-33.95,67.75,-32.275
CarbonLilthium,electron,N0,initial,E02,-24.75,-40.125,-66.275,-24.75,-40.125,-66.275
CarbonLilthium,electron,N0,initial,E03,58.7,25.9,-41.275,58.7,25.9,-41.275
CarbonLilthium,electron,N0,initial,E04,38.55,-63.875,25,38.55,-63.875,25
CarbonLilthium,electron,N0,initial,E05,24.75,41.85,73.55,24.75,41.85,73.55
CarbonLilthium,electron,N0,initial,E06,-63.3,-23.75,41.275,-63.3,-23.75,41.275
CarbonLilthium,electron,N0,initial,E07,119.35,47.875,-69.05,119.35,47.875,-69.05
CarbonLilthium,electron,N0,initial,E08,119.35,47.875,69.05,119.35,47.875,69.05
CarbonLilthium,nuclet,N00,lithium,N00,141.232,78.384,0,0,0,0
CarbonLilthium,proton,N00,lithium,P1,134.92825378503,-2.5683440397758,-49.518337512459,80.901699437495,-50,0
CarbonLilthium,proton,N00,lithium,P3,91.134450551785,82.879909969922,80.716214633125,-80.901699437495,-50,0
CarbonLilthium,proton,N00,lithium,P4,91.649661554857,81.874656317376,-81.083241207169,50,0,-80.901699437495
CarbonLilthium,proton,N00,lithium,P5,64.583602660085,134.6845815747,-0.59386147157771,-50,0,-80.901699437495
CarbonLilthium,proton,N00,lithium,P9,149.68567812791,82.716061426456,0.00039644914850445,0,8.08,4.9945
CarbonLilthium,proton,N00,lithium,P11,134.60983587376,-1.9470631151874,50.479225558081,0,-80.901699437495,50
