Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"SISI Fe56",nuclet,N0,final,N0,0,0,0,0,0,0
"SISI Fe56",proton,N0,final,P0,61.11,51.8,0,61.11,51.8,0
"SISI Fe56",proton,N0,final,P1,77.1,-47.5,0,77.1,-47.5,0
"SISI Fe56",proton,N0,final,P2,-61.11,51.8,0,-61.11,51.8,0
"SISI Fe56",proton,N0,final,P3,-77.1,-47.5,0,-77.1,-47.5,0
"SISI Fe56",proton,N0,final,P4,49.5,0,-82.55,49.5,0,-82.55
"SISI Fe56",proton,N0,final,P5,-49.5,0,-82.55,-49.5,0,-82.55
"SISI Fe56",proton,N0,final,P6,-49.5,0,82.55,-49.5,0,82.55
"SISI Fe56",proton,N0,final,P7,49.5,0,82.55,49.5,0,82.55
"SISI Fe56",proton,N0,final,P8,0,83.7,-71.005,0,83.7,-71.005
"SISI Fe56",proton,N0,final,P9,0,83.7,71.005,0,83.7,71.005
"SISI Fe56",proton,N0,final,P10,0,-80.25,-50,0,-80.25,-50
"SISI Fe56",proton,N0,final,P11,0,-80.25,50,0,-80.25,50
"SISI Fe56",nuclet,N00,initial,N00,144.8307,88.476,0,0,0,0
"SISI Fe56",proton,N00,initial,P0,192.06373443894,94.377378420769,-70.907433957414,67.9,51.8,0
"SISI Fe56",proton,N00,initial,P1,142.44328398234,11.199268210951,-47.151531987434,77.1,-47.5,0
"SISI Fe56",proton,N00,initial,P2,152.18544692426,164.4050264099,38.397143723519,-67.9,51.8,0
"SISI Fe56",proton,N00,initial,P3,97.161752798514,90.715198401851,76.963091564848,-77.1,-47.5,0
"SISI Fe56",proton,N00,initial,P4,93.526372897747,90.353370605879,-81.419248339648,49.5,0,-82.55
"SISI Fe56",proton,N00,initial,P5,64.454572721364,141.40445419148,-1.7347624014123,-49.5,0,-82.55
"SISI Fe56",proton,N00,initial,P6,196.13502710225,86.598629394121,81.419248339648,-49.5,0,82.55
"SISI Fe56",proton,N00,initial,P7,225.20682727864,35.547545808524,1.7347624014123,49.5,0,82.55
"SISI Fe56",proton,N00,initial,P8,137.44920295649,176.0157327369,-58.776706217246,0,83.7,-64.55
"SISI Fe56",proton,N00,initial,P9,240.41677812652,133.16029977907,6.2456001829407,0,83.7,64.55
"SISI Fe56",proton,N00,initial,P11,142.42524471094,8.4912645633521,50.365845391314,0,-80.25,50
"SISI Fe56",nuclet,N000,final,N000,227.60536085284,77.560319954694,-138.27412169255,0,0,0
"SISI Fe56",proton,N000,final,P0,192.70320948325,81.611094617601,-210.26789332874,61.11,51.8,0
"SISI Fe56",proton,N000,final,P1,147.67559175476,35.301107539976,-133.17010582114,77.1,-47.5,0
"SISI Fe56",proton,N000,final,P2,295.45927840649,116.99515291872,-154.34931754586,-61.11,51.8,0
"SISI Fe56",proton,N000,final,P3,277.31874204083,79.943733869811,-62.619914479952,-77.1,-47.5,0
"SISI Fe56",proton,N000,final,P4,149.81885995628,134.24157627738,-139.39124297118,49.5,0,-82.55
"SISI Fe56",proton,N000,final,P5,233.05278912827,162.90318462144,-94.096373043956,-49.5,0,-82.55
"SISI Fe56",proton,N000,final,P6,305.3918617494,20.879063632009,-137.15700041392,-49.5,0,82.55
"SISI Fe56",proton,N000,final,P7,222.15793257741,-7.7825447120479,-182.45187034114,49.5,0,82.55
"SISI Fe56",proton,N000,final,P8,223.11652987385,173.77369195529,-190.90716710812,0,83.7,-71.005
"SISI Fe56",proton,N000,final,P9,285.33864800181,51.612302362869,-227.94556621659,0,83.7,71.005
"SISI Fe56",proton,N000,final,P11,223.98811848126,0.86421903559727,-83.095446813271,0,-80.25,50
"SISI Fe56",nuclet,N0001,carbon,N0001,377.51261975565,156.62780954731,-147.22286776437,0,0,0
"SISI Fe56",proton,N0001,carbon,P0,454.39673594167,100.78101765147,-143.34298566431,80.901699437495,50,0
"SISI Fe56",proton,N0001,carbon,P1,371.10017120719,79.176557044835,-92.402534298722,80.901699437495,-50,0
"SISI Fe56",proton,N0001,carbon,P2,383.9250683041,234.07906204979,-202.04320123002,-80.901699437495,50,0
"SISI Fe56",proton,N0001,carbon,P3,300.62850356962,212.47460144316,-151.10274986444,-80.901699437495,-50,0
"SISI Fe56",proton,N0001,carbon,P4,371.67918241255,73.039524192579,-192.21236133892,50,0,-80.901699437495
"SISI Fe56",proton,N0001,carbon,P5,328.12529656864,155.42224626463,-228.49108970548,-50,0,-80.901699437495
"SISI Fe56",proton,N0001,carbon,P6,383.34605709874,240.21609490205,-102.23337418983,-50,0,80.901699437495
"SISI Fe56",proton,N0001,carbon,P7,426.89994294265,157.83337282999,-65.954645823267,50,0,80.901699437495
"SISI Fe56",proton,N0001,carbon,P8,427.83680275279,147.90344508497,-227.45033838556,0,80.901699437495,-50
"SISI Fe56",proton,N0001,carbon,P9,461.96510964501,200.30892557981,-149.41877885497,0,80.901699437495,50
"SISI Fe56",proton,N0001,carbon,P11,327.1884367585,165.35217400966,-66.995397143189,0,-80.901699437495,50
"SISI Fe56",nuclet,N01,carbon,N01,-144.8307,88.476,0,0,0,0
"SISI Fe56",proton,N01,carbon,P0,-195.07763898529,86.190657622493,80.716214633125,80.901699437495,50,0
"SISI Fe56",proton,N01,carbon,P1,-142.09806485262,7.3245864138631,49.518337512459,80.901699437495,-50,0
"SISI Fe56",proton,N01,carbon,P2,-147.56333514738,169.62741358614,-49.518337512459,-80.901699437495,50,0
"SISI Fe56",proton,N01,carbon,P3,-94.583761014709,90.761342377507,-80.716214633125,-80.901699437495,-50,0
"SISI Fe56",proton,N01,carbon,P4,-95.142741745618,89.779752938833,81.083241207169,50,0,-80.901699437495
"SISI Fe56",proton,N01,carbon,P5,-65.777287021998,141.3465040354,0.5938614715777,-50,0,-80.901699437495
"SISI Fe56",proton,N01,carbon,P6,-194.51865825438,87.172247061167,-81.083241207169,-50,0,80.901699437495
"SISI Fe56",proton,N01,carbon,P7,-223.884112978,35.605495964604,-0.5938614715777,50,0,80.901699437495
"SISI Fe56",proton,N01,carbon,P8,-147.90880423814,169.02075795004,50.479225558081,0,80.901699437495,-50
"SISI Fe56",proton,N01,carbon,P9,-227.47534741802,135.53922582469,3.5527136788005E-14,0,80.901699437495,50
"SISI Fe56",proton,N01,carbon,P11,-141.75259576186,7.9312420499614,-50.479225558081,0,-80.901699437495,50
