Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
metalicon,nuclet,N0,final,N0,0,0,0,0,0,0
metalicon,proton,N0,final,P0,61.11,51.8,0,61.11,51.8,0
metalicon,proton,N0,final,P1,77.1,-47.5,0,77.1,-47.5,0
metalicon,proton,N0,final,P2,-61.11,51.8,0,-61.11,51.8,0
metalicon,proton,N0,final,P3,-77.1,-47.5,0,-77.1,-47.5,0
metalicon,proton,N0,final,P4,49.5,0,-82.55,49.5,0,-82.55
metalicon,proton,N0,final,P5,-49.5,0,-82.55,-49.5,0,-82.55
metalicon,proton,N0,final,P6,-49.5,0,82.55,-49.5,0,82.55
metalicon,proton,N0,final,P7,49.5,0,82.55,49.5,0,82.55
metalicon,proton,N0,final,P8,0,83.7,-71.005,0,83.7,-71.005
metalicon,proton,N0,final,P9,0,83.7,71.005,0,83.7,71.005
metalicon,proton,N0,final,P10,0,-80.25,-50,0,-80.25,-50
metalicon,proton,N0,final,P11,0,-80.25,50,0,-80.25,50
metalicon,nuclet,N00,lithium,N00,144.8307,88.476,0,0,0,0
metalicon,proton,N00,lithium,P1,95.002759668484,90.025566293248,-80.992963759184,80.901699437495,-50,0
metalicon,proton,N00,lithium,P3,141.83958493492,7.7784860624443,50.239918857819,-80.901699437495,-50,0
metalicon,proton,N00,lithium,P4,65.77651766047,141.34785506077,-0.29693254480355,50,0,-80.901699437495
metalicon,proton,N00,lithium,P5,94.723267600268,90.516364002693,80.809449354129,-50,0,-80.901699437495
metalicon,proton,N00,lithium,P9,153.08540262884,93.176139849693,-0.00039079641277784,0,8.08,4.9945
metalicon,proton,N00,lithium,P11,142.01232053266,7.475156396407,-49.75947190796,0,-80.901699437495,50
metalicon,nuclet,N01,carbon,N01,-144.8307,88.476,0,0,0,0
metalicon,proton,N01,carbon,P0,-195.07763898529,86.190657622493,80.716214633125,80.901699437495,50,0
metalicon,proton,N01,carbon,P1,-142.09806485262,7.3245864138631,49.518337512459,80.901699437495,-50,0
metalicon,proton,N01,carbon,P2,-147.56333514738,169.62741358614,-49.518337512459,-80.901699437495,50,0
metalicon,proton,N01,carbon,P3,-94.583761014709,90.761342377507,-80.716214633125,-80.901699437495,-50,0
metalicon,proton,N01,carbon,P4,-95.142741745618,89.779752938833,81.083241207169,50,0,-80.901699437495
metalicon,proton,N01,carbon,P5,-65.777287021998,141.3465040354,0.5938614715777,-50,0,-80.901699437495
metalicon,proton,N01,carbon,P6,-194.51865825438,87.172247061167,-81.083241207169,-50,0,80.901699437495
metalicon,proton,N01,carbon,P7,-223.884112978,35.605495964604,-0.5938614715777,50,0,80.901699437495
metalicon,proton,N01,carbon,P8,-147.90880423814,169.02075795004,50.479225558081,0,80.901699437495,-50
metalicon,proton,N01,carbon,P9,-227.47534741802,135.53922582469,3.5527136788005E-14,0,80.901699437495,50
metalicon,proton,N01,carbon,P11,-141.75259576186,7.9312420499614,-50.479225558081,0,-80.901699437495,50
