Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"noble gas 110",nuclet,N0,final,N0,0,0,0,0,0,0
"noble gas 110",proton,N0,final,P0,61.11,51.8,0,61.11,51.8,0
"noble gas 110",proton,N0,final,P1,77.1,-47.5,0,77.1,-47.5,0
"noble gas 110",proton,N0,final,P2,-61.11,51.8,0,-61.11,51.8,0
"noble gas 110",proton,N0,final,P3,-77.1,-47.5,0,-77.1,-47.5,0
"noble gas 110",proton,N0,final,P4,49.5,0,-82.55,49.5,0,-82.55
"noble gas 110",proton,N0,final,P5,-49.5,0,-82.55,-49.5,0,-82.55
"noble gas 110",proton,N0,final,P6,-49.5,0,82.55,-49.5,0,82.55
"noble gas 110",proton,N0,final,P7,49.5,0,82.55,49.5,0,82.55
"noble gas 110",proton,N0,final,P8,0,83.7,-71.005,0,83.7,-71.005
"noble gas 110",proton,N0,final,P9,0,83.7,71.005,0,83.7,71.005
"noble gas 110",proton,N0,final,P10,0,-80.25,-50,0,-80.25,-50
"noble gas 110",proton,N0,final,P11,0,-80.25,50,0,-80.25,50
"noble gas 110",nuclet,N00,final,N00,144.8307,88.476,0,0,0,0
"noble gas 110",proton,N00,final,P0,190.0698200632,97.878760820226,-65.442205073368,61.11,51.8,0
"noble gas 110",proton,N00,final,P1,142.44328398234,11.199268210951,-47.151531987434,77.1,-47.5,0
"noble gas 110",proton,N00,final,P2,154.1793613,160.90364401044,32.931914839472,-61.11,51.8,0
"noble gas 110",proton,N00,final,P3,97.161752798514,90.715198401851,76.963091564848,-77.1,-47.5,0
"noble gas 110",proton,N00,final,P4,93.526372897747,90.353370605879,-81.419248339648,49.5,0,-82.55
"noble gas 110",proton,N00,final,P5,64.454572721364,141.40445419148,-1.7347624014123,-49.5,0,-82.55
"noble gas 110",proton,N00,final,P6,196.13502710225,86.598629394121,81.419248339648,-49.5,0,82.55
"noble gas 110",proton,N00,final,P7,225.20682727864,35.547545808524,1.7347624014123,49.5,0,82.55
"noble gas 110",proton,N00,final,P8,132.30082419798,178.15850438479,-62.027821537256,0,83.7,-71.005
"noble gas 110",proton,N00,final,P9,245.56515688502,131.01752813117,9.4967155029501,0,83.7,71.005
"noble gas 110",proton,N00,final,P11,142.42524471094,8.4912645633521,50.365845391314,0,-80.25,50
"noble gas 110",nuclet,N000,initial,N000,233.97970197311,83.67594293502,-144.33762204589,0,0,0
"noble gas 110",proton,N000,initial,P0,194.40503760734,87.518816718847,-219.92021436328,67.9,51.8,0
"noble gas 110",proton,N000,initial,P1,154.95369639842,39.520780837581,-141.91437978433,77.1,-47.5,0
"noble gas 110",proton,N000,initial,P2,306.7719438463,127.11116930945,-154.74534191518,-67.9,51.8,0
"noble gas 110",proton,N000,initial,P3,282.54557373309,84.477634810119,-67.908744059022,-77.1,-47.5,0
"noble gas 110",proton,N000,initial,P4,154.96479435167,138.64234736898,-144.63971007566,49.5,0,-82.55
"noble gas 110",proton,N000,initial,P5,236.88175839922,167.50569719571,-97.126364181978,-49.5,0,-82.55
"noble gas 110",proton,N000,initial,P6,312.99460959455,28.709538501058,-144.03553401611,-49.5,0,82.55
"noble gas 110",proton,N000,initial,P7,231.077645547,-0.15381132566814,-191.54887990979,49.5,0,82.55
"noble gas 110",proton,N000,initial,P8,231.05844835493,176.13848322681,-195.47016960697,0,83.7,-64.55
"noble gas 110",proton,N000,initial,P9,290.5749177027,67.606780698168,-232.15081058569,0,83.7,64.55
"noble gas 110",proton,N000,initial,P11,231.2994350682,5.0197025078681,-91.934621070898,0,-80.25,50
"noble gas 110",proton,N000,initial,P12,223.21379329301,21.282970473557,-287.7977199746,95.95,87.15,88.25
"noble gas 110",proton,N000,initial,P13,141.6008818147,4.0740898161652,-234.14989050729,142.75,8.6,49.85
"noble gas 110",proton,N000,initial,P14,95.638124309099,87.889819809239,-205.82254809383,142.75,8.6,-49.85
"noble gas 110",proton,N000,initial,P15,141.84542117929,169.66287362077,-237.64951600291,95.95,87.15,-88.25
"noble gas 110",proton,N000,initial,P16,300.63194037852,225.61112444652,-145.55041421506,-95.95,87.15,-88.25
"noble gas 110",proton,N000,initial,P17,331.87340951693,171.12705592571,-68.801737461035,-142.75,8.6,-49.85
"noble gas 110",proton,N000,initial,P18,377.83616702253,87.311325932634,-97.1290798745,-142.75,8.6,49.85
"noble gas 110",proton,N000,initial,P19,382.00031249225,77.231221299303,-195.69861818674,-95.95,87.15,88.25
"noble gas 110",nuclet,N001,initial,N001,148.91931470431,233.04491609584,88.809042147544,0,0,0
"noble gas 110",proton,N001,initial,P0,194.71295889585,238.52467137052,160.68785984642,67.9,51.8,0
"noble gas 110",proton,N001,initial,P1,146.50969596697,155.12312363171,134.8855871213,77.1,-47.5,0
