Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Aluminum 29",nuclet,N0,final,N0,0,0,0,0,0,0
"Aluminum 29",proton,N0,final,P0,61.11,51.8,0,61.11,51.8,0
"Aluminum 29",proton,N0,final,P1,77.1,-47.5,0,77.1,-47.5,0
"Aluminum 29",proton,N0,final,P2,-61.11,51.8,0,-61.11,51.8,0
"Aluminum 29",proton,N0,final,P3,-77.1,-47.5,0,-77.1,-47.5,0
"Aluminum 29",proton,N0,final,P4,49.5,0,-82.55,49.5,0,-82.55
"Aluminum 29",proton,N0,final,P5,-49.5,0,-82.55,-49.5,0,-82.55
"Aluminum 29",proton,N0,final,P6,-49.5,0,82.55,-49.5,0,82.55
"Aluminum 29",proton,N0,final,P7,49.5,0,82.55,49.5,0,82.55
"Aluminum 29",proton,N0,final,P8,0,83.7,-71.005,0,83.7,-71.005
"Aluminum 29",proton,N0,final,P9,0,83.7,71.005,0,83.7,71.005
"Aluminum 29",proton,N0,final,P10,0,-80.25,-50,0,-80.25,-50
"Aluminum 29",proton,N0,final,P11,0,-80.25,50,0,-80.25,50
"Aluminum 29",proton,N0,final,P12,95.95,87.15,88.25,95.95,87.15,88.25
"Aluminum 29",proton,N0,final,P13,142.75,8.6,49.85,142.75,8.6,49.85
"Aluminum 29",proton,N0,final,P14,142.75,8.6,-49.85,142.75,8.6,-49.85
"Aluminum 29",proton,N0,final,P15,95.95,87.15,-88.25,95.95,87.15,-88.25
"Aluminum 29",neutron,N0,final,U00,142.5,95,0,142.5,95,0
"Aluminum 29",nuclet,N01,boron11,N01,-144.8307,88.476,0,0,0,0
"Aluminum 29",proton,N01,boron11,P0,-230.55435160906,19.594826163549,-8.071462052835,99.509090308119,47.5,0
"Aluminum 29",proton,N01,boron11,P1,-141.66519375091,8.0847229950514,-50.71791718491,80.901699437495,-50,0
"Aluminum 29",proton,N01,boron11,P2,-137.21380351082,183.50404726366,55.407239374279,-99.509090308119,47.5,0
"Aluminum 29",proton,N01,boron11,P3,-65.778569280796,141.34425234473,0.89078316233726,-80.901699437495,-50,0
"Aluminum 29",proton,N01,boron11,P4,-146.09802679752,13.193017578961,39.49291496916,50,0,-68.766444521871
"Aluminum 29",proton,N01,boron11,P5,-99.197513583486,95.551936041878,71.388845898967,-50,0,-68.766444521871
"Aluminum 29",proton,N01,boron11,P6,-143.56337320248,163.75898242104,-39.49291496916,-50,0,68.766444521871
"Aluminum 29",proton,N01,boron11,P7,-190.46388641651,81.400063958122,-71.388845898967,50,0,68.766444521871
"Aluminum 29",proton,N01,boron11,P9,-183.88407755994,101.5494367136,23.667888660722,0,47.5,0
"Aluminum 29",proton,N01,boron11,P11,-94.444416328624,91.006036451262,-80.621996410518,0,-80.901699437495,50
"Aluminum 29",neutron,N01,boron11,U00,-242.84102708214,157.07332541215,-33.009442247743,0,83.01417467238,92.249050669476
"Aluminum 29",neutron,N01,boron11,U01,-183.32495844658,65.574698120962,115.73661039122,0,83.01417467238,-92.249050669476
