Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Max isotope Silicon 41",nuclet,N0,final,N0,0,0,0,0,0,0
"Max isotope Silicon 41",proton,N0,final,P0,61.11,51.8,0,61.11,51.8,0
"Max isotope Silicon 41",proton,N0,final,P1,77.1,-47.5,0,77.1,-47.5,0
"Max isotope Silicon 41",proton,N0,final,P2,-61.11,51.8,0,-61.11,51.8,0
"Max isotope Silicon 41",proton,N0,final,P3,-77.1,-47.5,0,-77.1,-47.5,0
"Max isotope Silicon 41",proton,N0,final,P4,49.5,0,-82.55,49.5,0,-82.55
"Max isotope Silicon 41",proton,N0,final,P5,-49.5,0,-82.55,-49.5,0,-82.55
"Max isotope Silicon 41",proton,N0,final,P6,-49.5,0,82.55,-49.5,0,82.55
"Max isotope Silicon 41",proton,N0,final,P7,49.5,0,82.55,49.5,0,82.55
"Max isotope Silicon 41",proton,N0,final,P8,0,83.7,-71.005,0,83.7,-71.005
"Max isotope Silicon 41",proton,N0,final,P9,0,83.7,71.005,0,83.7,71.005
"Max isotope Silicon 41",proton,N0,final,P10,0,-80.25,-50,0,-80.25,-50
"Max isotope Silicon 41",proton,N0,final,P11,0,-80.25,50,0,-80.25,50
"Max isotope Silicon 41",proton,N0,final,P12,95.95,87.15,88.25,95.95,87.15,88.25
"Max isotope Silicon 41",proton,N0,final,P13,142.75,8.6,49.85,142.75,8.6,49.85
"Max isotope Silicon 41",proton,N0,final,P14,142.75,8.6,-49.85,142.75,8.6,-49.85
"Max isotope Silicon 41",proton,N0,final,P15,95.95,87.15,-88.25,95.95,87.15,-88.25
"Max isotope Silicon 41",neutron,N0,final,U00,142.5,95,0,142.5,95,0
"Max isotope Silicon 41",neutron,N0,final,U01,195.72263321808,85.817741904317,84.225688576967,195.72263321808,85.817741904317,84.225688576967
"Max isotope Silicon 41",neutron,N0,final,U02,224.31598295777,37.636253808713,0,224.31598295777,37.636253808713,0
"Max isotope Silicon 41",neutron,N0,final,U03,195.72263321808,85.817741904317,-84.225688576967,195.72263321808,85.817741904317,-84.225688576967
"Max isotope Silicon 41",nuclet,N01,carbon,N01,-144.8307,88.476,0,0,0,0
"Max isotope Silicon 41",proton,N01,carbon,P0,-195.07763898529,86.190657622493,80.716214633125,80.901699437495,50,0
"Max isotope Silicon 41",proton,N01,carbon,P1,-142.09806485262,7.3245864138631,49.518337512459,80.901699437495,-50,0
"Max isotope Silicon 41",proton,N01,carbon,P2,-147.56333514738,169.62741358614,-49.518337512459,-80.901699437495,50,0
"Max isotope Silicon 41",proton,N01,carbon,P3,-94.583761014709,90.761342377507,-80.716214633125,-80.901699437495,-50,0
"Max isotope Silicon 41",proton,N01,carbon,P4,-95.142741745618,89.779752938833,81.083241207169,50,0,-80.901699437495
"Max isotope Silicon 41",proton,N01,carbon,P5,-65.777287021998,141.3465040354,0.5938614715777,-50,0,-80.901699437495
"Max isotope Silicon 41",proton,N01,carbon,P6,-194.51865825438,87.172247061167,-81.083241207169,-50,0,80.901699437495
"Max isotope Silicon 41",proton,N01,carbon,P7,-223.884112978,35.605495964604,-0.5938614715777,50,0,80.901699437495
"Max isotope Silicon 41",proton,N01,carbon,P8,-147.90880423814,169.02075795004,50.479225558081,0,80.901699437495,-50
"Max isotope Silicon 41",proton,N01,carbon,P9,-227.47534741802,135.53922582469,3.5527136788005E-14,0,80.901699437495,50
"Max isotope Silicon 41",proton,N01,carbon,P11,-141.75259576186,7.9312420499614,-50.479225558081,0,-80.901699437495,50
"Max isotope Silicon 41",neutron,N01,carbon,U01,-147.35285236516,143.6494246927,147.20557339702,90.774351891601,90.774351891601,-90.774351891601
"Max isotope Silicon 41",neutron,N01,carbon,U02,-143.3233699062,31.520512404912,146.53924140931,146.87598666735,0,-56.101634775753
"Max isotope Silicon 41",neutron,N01,carbon,U03,-232.59963282314,-6.0468613356623,89.899899888861,146.87598666735,0,56.101634775753
"Max isotope Silicon 41",neutron,N01,carbon,U04,-291.80488015334,82.864137112383,55.561193716529,90.774351891601,90.774351891601,90.774351891601
"Max isotope Silicon 41",neutron,N01,carbon,U11,-94.040249954387,237.26819289162,1.0781478039172,-90.774351891601,90.774351891601,-90.774351891601
"Max isotope Silicon 41",neutron,N01,carbon,U12,-57.06176717686,182.99886133566,-89.899899888861,-146.87598666735,0,-56.101634775753
"Max isotope Silicon 41",neutron,N01,carbon,U13,-146.3380300938,145.43148759509,-146.53924140931,-146.87598666735,0,56.101634775753
"Max isotope Silicon 41",neutron,N01,carbon,U14,-238.49227774256,176.4829053113,-90.566231876577,-90.774351891601,90.774351891601,90.774351891601
