Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Silicon 28 Alternative",nuclet,N0,final,N0,0,0,0,0,0,0
"Silicon 28 Alternative",proton,N0,final,P0,61.11,51.8,0,61.11,51.8,0
"Silicon 28 Alternative",proton,N0,final,P1,77.1,-47.5,0,77.1,-47.5,0
"Silicon 28 Alternative",proton,N0,final,P2,-61.11,51.8,0,-61.11,51.8,0
"Silicon 28 Alternative",proton,N0,final,P3,-77.1,-47.5,0,-77.1,-47.5,0
"Silicon 28 Alternative",proton,N0,final,P4,49.5,0,-82.55,49.5,0,-82.55
"Silicon 28 Alternative",proton,N0,final,P5,-49.5,0,-82.55,-49.5,0,-82.55
"Silicon 28 Alternative",proton,N0,final,P6,-49.5,0,82.55,-49.5,0,82.55
"Silicon 28 Alternative",proton,N0,final,P7,49.5,0,82.55,49.5,0,82.55
"Silicon 28 Alternative",proton,N0,final,P8,0,83.7,-71.005,0,83.7,-71.005
"Silicon 28 Alternative",proton,N0,final,P9,0,83.7,71.005,0,83.7,71.005
"Silicon 28 Alternative",proton,N0,final,P10,0,-80.25,-50,0,-80.25,-50
"Silicon 28 Alternative",proton,N0,final,P11,0,-80.25,50,0,-80.25,50
"Silicon 28 Alternative",electron,N0,final,E01,30.555,67.75,-35.5025,30.555,67.75,-35.5025
"Silicon 28 Alternative",electron,N0,final,E02,24.75,-40.125,-66.275,24.75,-40.125,-66.275
"Silicon 28 Alternative",electron,N0,final,E03,-55.305,25.9,-41.275,-55.305,25.9,-41.275
"Silicon 28 Alternative",electron,N0,final,E04,-24.75,41.85,76.7775,-24.75,41.85,76.7775
"Silicon 28 Alternative",electron,N0,final,E05,63.3,-23.75,41.275,63.3,-23.75,41.275
"Silicon 28 Alternative",electron,N0,final,E06,-38.55,-63.875,25,-38.55,-63.875,25
"Silicon 28 Alternative",nuclet,N00,beryllium,N00,144.8307,88.476,0,0,0,0
"Silicon 28 Alternative",proton,N00,beryllium,P1,142.6445918821,23.55486913109,-39.614670009967,64.721359549996,-40,0
"Silicon 28 Alternative",proton,N00,beryllium,P3,104.63314881177,90.304273902006,64.5729717065,-64.721359549996,-40,0
"Silicon 28 Alternative",proton,N00,beryllium,P4,95.142741745618,89.779752938833,-81.083241207169,50,0,-80.901699437495
"Silicon 28 Alternative",proton,N00,beryllium,P5,65.777287021998,141.3465040354,-0.59386147157771,-50,0,-80.901699437495
"Silicon 28 Alternative",proton,N00,beryllium,P6,194.51865825438,87.172247061167,81.083241207169,-50,0,80.901699437495
"Silicon 28 Alternative",proton,N00,beryllium,P7,223.884112978,35.605495964604,0.59386147157771,50,0,80.901699437495
"Silicon 28 Alternative",proton,N00,beryllium,P9,160.7245722398,112.13582136259,-9.3593631361999,0,30,0
"Silicon 28 Alternative",proton,N00,beryllium,P11,141.75259576186,7.9312420499614,50.479225558081,0,-80.901699437495,50
"Silicon 28 Alternative",electron,N00,beryllium,E01,151.23858400083,60.033531706275,20.55993121094,0,-25.450849718747,25
"Silicon 28 Alternative",electron,N00,beryllium,E02,209.20138561619,61.388871512885,40.838551339373,0,0,80.901699437495
"Silicon 28 Alternative",electron,N00,beryllium,E03,118.89366681386,56.667311034962,-60.348955608568,57.360679774998,-20,-40.450849718747
"Silicon 28 Alternative",electron,N00,beryllium,E04,113.2509296309,126.74116269899,-4.9766123038888,-25,15,-40.450849718747
"Silicon 28 Alternative",nuclet,N01,beryllium,N01,-144.8307,88.476,0,0,0,0
"Silicon 28 Alternative",proton,N01,beryllium,P1,-142.6445918821,23.55486913109,39.614670009967,64.721359549996,-40,0
"Silicon 28 Alternative",proton,N01,beryllium,P3,-104.63314881177,90.304273902006,-64.5729717065,-64.721359549996,-40,0
"Silicon 28 Alternative",proton,N01,beryllium,P4,-95.142741745618,89.779752938833,81.083241207169,50,0,-80.901699437495
"Silicon 28 Alternative",proton,N01,beryllium,P5,-65.777287021998,141.3465040354,0.5938614715777,-50,0,-80.901699437495
"Silicon 28 Alternative",proton,N01,beryllium,P6,-194.51865825438,87.172247061167,-81.083241207169,-50,0,80.901699437495
"Silicon 28 Alternative",proton,N01,beryllium,P7,-223.884112978,35.605495964604,-0.5938614715777,50,0,80.901699437495
"Silicon 28 Alternative",proton,N01,beryllium,P9,-160.7245722398,112.13582136259,9.3593631361999,0,30,0
"Silicon 28 Alternative",proton,N01,beryllium,P11,-141.75259576186,7.9312420499614,-50.479225558081,0,-80.901699437495,50
"Silicon 28 Alternative",electron,N01,beryllium,E01,-113.2509296309,126.74116269899,4.9766123038888,-25,15,-40.450849718747
"Silicon 28 Alternative",electron,N01,beryllium,E02,-118.89366681386,56.667311034962,60.348955608568,57.360679774998,-20,-40.450849718747
"Silicon 28 Alternative",electron,N01,beryllium,E03,-209.20138561619,61.388871512885,-40.838551339373,0,0,80.901699437495
"Silicon 28 Alternative",electron,N01,beryllium,E04,-123.19287228681,49.117757975984,-57.52609863229,-32.360679774998,-60.450849718747,25
