Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Silicon 28 alt 2",nuclet,N0,final,N0,0,0,0,0,0,0
"Silicon 28 alt 2",proton,N0,final,P0,61.11,51.8,0,61.11,51.8,0
"Silicon 28 alt 2",proton,N0,final,P1,77.1,-47.5,0,77.1,-47.5,0
"Silicon 28 alt 2",proton,N0,final,P2,-61.11,51.8,0,-61.11,51.8,0
"Silicon 28 alt 2",proton,N0,final,P3,-77.1,-47.5,0,-77.1,-47.5,0
"Silicon 28 alt 2",proton,N0,final,P4,49.5,0,-82.55,49.5,0,-82.55
"Silicon 28 alt 2",proton,N0,final,P5,-49.5,0,-82.55,-49.5,0,-82.55
"Silicon 28 alt 2",proton,N0,final,P6,-49.5,0,82.55,-49.5,0,82.55
"Silicon 28 alt 2",proton,N0,final,P7,49.5,0,82.55,49.5,0,82.55
"Silicon 28 alt 2",proton,N0,final,P8,0,83.7,-71.005,0,83.7,-71.005
"Silicon 28 alt 2",proton,N0,final,P9,0,83.7,71.005,0,83.7,71.005
"Silicon 28 alt 2",proton,N0,final,P10,0,-80.25,-50,0,-80.25,-50
"Silicon 28 alt 2",proton,N0,final,P11,0,-80.25,50,0,-80.25,50
"Silicon 28 alt 2",nuclet,N00,lithium,N00,144.8307,88.476,0,0,0,0
"Silicon 28 alt 2",proton,N00,lithium,P1,94.305235239884,91.250443242436,80.526795834328,80.901699437495,-50,0
"Silicon 28 alt 2",proton,N00,lithium,P3,95.42316945777,89.287312206373,-81.260831094058,-80.901699437495,-50,0
"Silicon 28 alt 2",proton,N00,lithium,P4,141.57737996704,8.2389270275974,50.955990829923,50,0,-80.901699437495
"Silicon 28 alt 2",proton,N00,lithium,P5,142.26830131088,7.0256453229407,-49.034261571007,-50,0,-80.901699437495
"Silicon 28 alt 2",proton,N00,lithium,P9,153.08480392524,93.17719119386,-9.3278030606561E-6,0,8.08,4.9945
"Silicon 28 alt 2",proton,N00,lithium,P11,65.780364421238,141.34110001621,-1.1876939991851,0,-80.901699437495,50
"Silicon 28 alt 2",nuclet,N01,boron11,N01,-144.8307,88.476,0,0,0,0
"Silicon 28 alt 2",proton,N01,boron11,P0,-191.61134322461,87.980091748994,-99.84805730933,99.509090308119,47.5,0
"Silicon 28 alt 2",proton,N01,boron11,P1,-94.305235239884,91.250443242436,-80.526795834328,80.901699437495,-50,0
"Silicon 28 alt 2",proton,N01,boron11,P2,-192.98640231261,85.565440574637,99.150723812585,-99.509090308119,47.5,0
"Silicon 28 alt 2",proton,N01,boron11,P3,-95.42316945777,89.287312206373,81.260831094058,-80.901699437495,-50,0
"Silicon 28 alt 2",proton,N01,boron11,P4,-142.01355887119,20.365484101307,-50.811861135504,50,0,-68.766444521871
"Silicon 28 alt 2",proton,N01,boron11,P5,-142.70448021503,19.15220239665,49.178391265426,-50,0,-68.766444521871
"Silicon 28 alt 2",proton,N01,boron11,P6,-147.64784112881,156.58651589869,50.811861135504,-50,0,68.766444521871
"Silicon 28 alt 2",proton,N01,boron11,P7,-146.95691978497,157.79979760335,-49.178391265426,50,0,68.766444521871
"Silicon 28 alt 2",proton,N01,boron11,P9,-192.29887276861,86.772766161815,-0.34866674837207,0,47.5,0
"Silicon 28 alt 2",proton,N01,boron11,P11,-65.780364421238,141.34110001621,1.1876939991851,0,-80.901699437495,50
