Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Phosphorus 32",nuclet,N0,final,N0,0,0,0,0,0,0
"Phosphorus 32",proton,N0,final,P0,61.11,51.8,0,61.11,51.8,0
"Phosphorus 32",proton,N0,final,P1,77.1,-47.5,0,77.1,-47.5,0
"Phosphorus 32",proton,N0,final,P2,-61.11,51.8,0,-61.11,51.8,0
"Phosphorus 32",proton,N0,final,P3,-77.1,-47.5,0,-77.1,-47.5,0
"Phosphorus 32",proton,N0,final,P4,49.5,0,-82.55,49.5,0,-82.55
"Phosphorus 32",proton,N0,final,P5,-49.5,0,-82.55,-49.5,0,-82.55
"Phosphorus 32",proton,N0,final,P6,-49.5,0,82.55,-49.5,0,82.55
"Phosphorus 32",proton,N0,final,P7,49.5,0,82.55,49.5,0,82.55
"Phosphorus 32",proton,N0,final,P8,0,83.7,-71.005,0,83.7,-71.005
"Phosphorus 32",proton,N0,final,P9,0,83.7,71.005,0,83.7,71.005
"Phosphorus 32",proton,N0,final,P10,0,-80.25,-50,0,-80.25,-50
"Phosphorus 32",proton,N0,final,P11,0,-80.25,50,0,-80.25,50
"Phosphorus 32",nuclet,N00,beryllium,N00,144.8307,88.476,0,0,0,0
"Phosphorus 32",proton,N00,beryllium,P1,104.41032819191,90.695554593949,64.421436667462,64.721359549996,-40,0
"Phosphorus 32",proton,N00,beryllium,P3,105.30467556622,89.125049765099,-65.008664875247,-64.721359549996,-40,0
"Phosphorus 32",proton,N00,beryllium,P4,141.57737996704,8.2389270275974,50.955990829923,50,0,-80.901699437495
"Phosphorus 32",proton,N00,beryllium,P5,142.26830131088,7.0256453229407,-49.034261571007,-50,0,-80.901699437495
"Phosphorus 32",proton,N00,beryllium,P6,148.08402003296,168.7130729724,-50.955990829923,-50,0,80.901699437495
"Phosphorus 32",proton,N00,beryllium,P7,147.39309868912,169.92635467706,49.034261571007,50,0,80.901699437495
"Phosphorus 32",proton,N00,beryllium,P9,174.8105985907,87.400273365357,0.2202105779192,0,30,0
"Phosphorus 32",proton,N00,beryllium,P11,65.780364421238,141.34110001621,-1.1876939991851,0,-80.901699437495,50
"Phosphorus 32",neutron,N00,beryllium,U00,195.12537061197,87.824232141835,97.369069144214,97.004173603484,50.999064921068,0
"Phosphorus 32",nuclet,N01,carbon,N01,-144.8307,88.476,0,0,0,0
"Phosphorus 32",proton,N01,carbon,P0,-195.07763898529,86.190657622493,80.716214633125,80.901699437495,50,0
"Phosphorus 32",proton,N01,carbon,P1,-142.09806485262,7.3245864138631,49.518337512459,80.901699437495,-50,0
"Phosphorus 32",proton,N01,carbon,P2,-147.56333514738,169.62741358614,-49.518337512459,-80.901699437495,50,0
"Phosphorus 32",proton,N01,carbon,P3,-94.583761014709,90.761342377507,-80.716214633125,-80.901699437495,-50,0
"Phosphorus 32",proton,N01,carbon,P4,-95.142741745618,89.779752938833,81.083241207169,50,0,-80.901699437495
"Phosphorus 32",proton,N01,carbon,P5,-65.777287021998,141.3465040354,0.5938614715777,-50,0,-80.901699437495
"Phosphorus 32",proton,N01,carbon,P6,-194.51865825438,87.172247061167,-81.083241207169,-50,0,80.901699437495
"Phosphorus 32",proton,N01,carbon,P7,-223.884112978,35.605495964604,-0.5938614715777,50,0,80.901699437495
"Phosphorus 32",proton,N01,carbon,P8,-147.90880423814,169.02075795004,50.479225558081,0,80.901699437495,-50
"Phosphorus 32",proton,N01,carbon,P9,-227.47534741802,135.53922582469,3.5527136788005E-14,0,80.901699437495,50
"Phosphorus 32",proton,N01,carbon,P11,-141.75259576186,7.9312420499614,-50.479225558081,0,-80.901699437495,50
