Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Sulfur 33",nuclet,N0,final,N0,0,0,0,0,0,0
"Sulfur 33",proton,N0,final,P0,61.11,51.8,0,61.11,51.8,0
"Sulfur 33",proton,N0,final,P1,77.1,-47.5,0,77.1,-47.5,0
"Sulfur 33",proton,N0,final,P2,-61.11,51.8,0,-61.11,51.8,0
"Sulfur 33",proton,N0,final,P3,-77.1,-47.5,0,-77.1,-47.5,0
"Sulfur 33",proton,N0,final,P4,49.5,0,-82.55,49.5,0,-82.55
"Sulfur 33",proton,N0,final,P5,-49.5,0,-82.55,-49.5,0,-82.55
"Sulfur 33",proton,N0,final,P6,-49.5,0,82.55,-49.5,0,82.55
"Sulfur 33",proton,N0,final,P7,49.5,0,82.55,49.5,0,82.55
"Sulfur 33",proton,N0,final,P8,0,83.7,-71.005,0,83.7,-71.005
"Sulfur 33",proton,N0,final,P9,0,83.7,71.005,0,83.7,71.005
"Sulfur 33",proton,N0,final,P10,0,-80.25,-50,0,-80.25,-50
"Sulfur 33",proton,N0,final,P11,0,-80.25,50,0,-80.25,50
"Sulfur 33",nuclet,N00,boron11,N00,144.8307,88.476,0,0,0,0
"Sulfur 33",proton,N00,boron11,P0,199.21729457333,74.623778906458,-94.913241201851,99.509090308119,47.5,0
"Sulfur 33",proton,N00,boron11,P1,142.09806485262,7.324586413863,-49.518337512459,80.901699437495,-50,0
"Sulfur 33",proton,N00,boron11,P2,140.7747008527,177.25098874174,65.275257937218,-99.509090308119,47.5,0
"Sulfur 33",proton,N00,boron11,P3,94.583761014709,90.761342377507,80.716214633125,-80.901699437495,-50,0
"Sulfur 33",proton,N00,boron11,P4,104.79834458805,85.716683665766,-74.957458506263,50,0,-68.766444521871
"Sulfur 33",proton,N00,boron11,P5,75.432889864427,137.28343476233,5.5319212293283,-50,0,-68.766444521871
"Sulfur 33",proton,N00,boron11,P6,184.86305541195,91.235316334234,74.957458506263,-50,0,68.766444521871
"Sulfur 33",proton,N00,boron11,P7,214.22851013557,39.668565237671,-5.5319212293283,50,0,68.766444521871
"Sulfur 33",proton,N00,boron11,P9,169.99599771302,125.9373838241,-14.818991632316,0,47.5,0
"Sulfur 33",proton,N00,boron11,P11,141.75259576186,7.9312420499614,50.479225558081,0,-80.901699437495,50
"Sulfur 33",neutron,N00,boron11,U01,115.41187547722,184.8324136456,-72.465266569657,0,83.01417467238,-92.249050669476
"Sulfur 33",nuclet,N01,boron11,N01,-144.8307,88.476,0,0,0,0
"Sulfur 33",proton,N01,boron11,P0,-141.11510377452,176.65322947299,66.100526481308,99.509090308119,47.5,0
"Sulfur 33",proton,N01,boron11,P1,-95.002759668484,90.025566293248,80.992963759184,80.901699437495,-50,0
"Sulfur 33",proton,N01,boron11,P2,-198.72439885224,75.489320789102,-95.315919137605,-99.509090308119,47.5,0
"Sulfur 33",proton,N01,boron11,P3,-141.83958493492,7.7784860624443,-50.239918857819,-80.901699437495,-50,0
"Sulfur 33",proton,N01,boron11,P4,-75.463638765915,137.22943863101,6.335371305503,50,0,-68.766444521871
"Sulfur 33",proton,N01,boron11,P5,-104.41038870571,86.397947572933,-74.77101059343,-50,0,-68.766444521871
"Sulfur 33",proton,N01,boron11,P6,-214.19776123409,39.722561368991,-6.335371305503,-50,0,68.766444521871
"Sulfur 33",proton,N01,boron11,P7,-185.25101129429,90.554052427067,74.77101059343,50,0,68.766444521871
"Sulfur 33",proton,N01,boron11,P9,-169.91975131338,126.07127513105,-14.607696328148,0,47.5,0
"Sulfur 33",proton,N01,boron11,P11,-142.01232053266,7.4751563964071,49.75947190796,0,-80.901699437495,50
