Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"max Ar isotope 47",nuclet,N0,final,N0,0,0,0,0,0,0
"max Ar isotope 47",proton,N0,final,P0,61.11,51.8,0,61.11,51.8,0
"max Ar isotope 47",proton,N0,final,P1,77.1,-47.5,0,77.1,-47.5,0
"max Ar isotope 47",proton,N0,final,P2,-61.11,51.8,0,-61.11,51.8,0
"max Ar isotope 47",proton,N0,final,P3,-77.1,-47.5,0,-77.1,-47.5,0
"max Ar isotope 47",proton,N0,final,P4,49.5,0,-82.55,49.5,0,-82.55
"max Ar isotope 47",proton,N0,final,P5,-49.5,0,-82.55,-49.5,0,-82.55
"max Ar isotope 47",proton,N0,final,P6,-49.5,0,82.55,-49.5,0,82.55
"max Ar isotope 47",proton,N0,final,P7,49.5,0,82.55,49.5,0,82.55
"max Ar isotope 47",proton,N0,final,P8,0,83.7,-71.005,0,83.7,-71.005
"max Ar isotope 47",proton,N0,final,P9,0,83.7,71.005,0,83.7,71.005
"max Ar isotope 47",proton,N0,final,P10,0,-80.25,-50,0,-80.25,-50
"max Ar isotope 47",proton,N0,final,P11,0,-80.25,50,0,-80.25,50
"max Ar isotope 47",proton,N0,final,P12,95.95,87.15,88.25,95.95,87.15,88.25
"max Ar isotope 47",proton,N0,final,P13,142.75,8.6,49.85,142.75,8.6,49.85
"max Ar isotope 47",proton,N0,final,P14,142.75,8.6,-49.85,142.75,8.6,-49.85
"max Ar isotope 47",proton,N0,final,P15,95.95,87.15,-88.25,95.95,87.15,-88.25
"max Ar isotope 47",neutron,N0,final,U00,142.5,95,0,142.5,95,0
"max Ar isotope 47",neutron,N0,final,U01,195.72263321808,85.817741904317,84.225688576967,195.72263321808,85.817741904317,84.225688576967
"max Ar isotope 47",neutron,N0,final,U02,224.31598295777,37.636253808713,0,224.31598295777,37.636253808713,0
"max Ar isotope 47",neutron,N0,final,U03,195.72263321808,85.817741904317,-84.225688576967,195.72263321808,85.817741904317,-84.225688576967
"max Ar isotope 47",nuclet,N01,initial,N01,-144.8307,88.476,0,0,0,0
"max Ar isotope 47",proton,N01,initial,P0,-192.06373443894,94.377378420769,70.907433957414,67.9,51.8,0
"max Ar isotope 47",proton,N01,initial,P1,-142.44328398234,11.199268210951,47.151531987434,77.1,-47.5,0
"max Ar isotope 47",proton,N01,initial,P2,-152.18544692426,164.4050264099,-38.397143723519,-67.9,51.8,0
"max Ar isotope 47",proton,N01,initial,P3,-97.161752798514,90.715198401851,-76.963091564848,-77.1,-47.5,0
"max Ar isotope 47",proton,N01,initial,P4,-93.526372897747,90.353370605879,81.419248339648,49.5,0,-82.55
"max Ar isotope 47",proton,N01,initial,P5,-64.454572721364,141.40445419148,1.7347624014123,-49.5,0,-82.55
"max Ar isotope 47",proton,N01,initial,P6,-196.13502710225,86.598629394121,-81.419248339648,-49.5,0,82.55
"max Ar isotope 47",proton,N01,initial,P7,-225.20682727864,35.547545808524,-1.7347624014123,49.5,0,82.55
"max Ar isotope 47",proton,N01,initial,P8,-137.44920295649,176.0157327369,58.776706217246,0,83.7,-64.55
"max Ar isotope 47",proton,N01,initial,P9,-240.41677812652,133.16029977907,-6.2456001829407,0,83.7,64.55
"max Ar isotope 47",proton,N01,initial,P11,-142.42524471094,8.4912645633521,-50.365845391314,0,-80.25,50
"max Ar isotope 47",proton,N01,initial,P12,-289.3134137628,78.539708072678,60.129884637113,95.95,87.15,88.25
"max Ar isotope 47",proton,N01,initial,P13,-231.04066666927,5.1093611086829,92.489946301468,142.75,8.6,49.85
"max Ar isotope 47",proton,N01,initial,P14,-151.52194285476,38.205307397576,142.70469415661,142.75,8.6,-49.85
"max Ar isotope 47",proton,N01,initial,P15,-148.54054763181,137.12982361921,149.02560175278,95.95,87.15,-88.25
"max Ar isotope 47",proton,N01,initial,P16,-92.18824001718,236.08641897352,-5.4335179598167,-95.95,87.15,-88.25
"max Ar isotope 47",proton,N01,initial,P17,-67.683569618831,185.42838177826,-87.092484988505,-142.75,8.6,-49.85
"max Ar isotope 47",proton,N01,initial,P18,-147.20229343333,152.33243548937,-137.30723284365,-142.75,8.6,49.85
"max Ar isotope 47",proton,N01,initial,P19,-232.96110614817,177.49630342698,-94.329235075487,-95.95,87.15,88.25
"max Ar isotope 47",neutron,N01,initial,U00,-236.73283620031,90.030913074596,144.50892570063,142.5,95,0
"max Ar isotope 47",neutron,N01,initial,U01,-314.70041208425,27.373785193867,142.0450662918,195.72263321808,85.817741904317,84.225688576967
"max Ar isotope 47",neutron,N01,initial,U02,-230.53299252759,2.5312369956261,192.36102146407,224.31598295777,37.636253808713,0
"max Ar isotope 47",neutron,N01,initial,U03,-180.34696638639,83.292117496543,226.88702646869,195.72263321808,85.817741904317,-84.225688576967
"max Ar isotope 47",neutron,N01,initial,U10,-153.04129023799,236.9961536998,-84.885806545804,-142.5,95,0
"max Ar isotope 47",neutron,N01,initial,U11,-65.397283903326,285.14772371896,-88.184840490119,-195.72263321808,85.817741904317,-84.225688576967
"max Ar isotope 47",neutron,N01,initial,U12,-98.790175700979,233.87616619891,-168.74006519693,-224.31598295777,37.636253808713,0
"max Ar isotope 47",neutron,N01,initial,U13,-199.75072960118,229.22939141628,-173.02680066701,-195.72263321808,85.817741904317,84.225688576967
