Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Technetium 100",nuclet,N0,final,N0,0,0,0,0,0,0
"Technetium 100",proton,N0,final,P0,61.11,51.8,0,61.11,51.8,0
"Technetium 100",proton,N0,final,P1,77.1,-47.5,0,77.1,-47.5,0
"Technetium 100",proton,N0,final,P2,-61.11,51.8,0,-61.11,51.8,0
"Technetium 100",proton,N0,final,P3,-77.1,-47.5,0,-77.1,-47.5,0
"Technetium 100",proton,N0,final,P4,49.5,0,-82.55,49.5,0,-82.55
"Technetium 100",proton,N0,final,P5,-49.5,0,-82.55,-49.5,0,-82.55
"Technetium 100",proton,N0,final,P6,-49.5,0,82.55,-49.5,0,82.55
"Technetium 100",proton,N0,final,P7,49.5,0,82.55,49.5,0,82.55
"Technetium 100",proton,N0,final,P8,0,83.7,-71.005,0,83.7,-71.005
"Technetium 100",proton,N0,final,P9,0,83.7,71.005,0,83.7,71.005
"Technetium 100",proton,N0,final,P10,0,-80.25,-50,0,-80.25,-50
"Technetium 100",proton,N0,final,P11,0,-80.25,50,0,-80.25,50
"Technetium 100",nuclet,N00,final,N00,144.8307,88.476,0,0,0,0
"Technetium 100",proton,N00,final,P0,190.0698200632,97.878760820226,-65.442205073368,61.11,51.8,0
"Technetium 100",proton,N00,final,P1,142.44328398234,11.199268210951,-47.151531987434,77.1,-47.5,0
"Technetium 100",proton,N00,final,P2,154.1793613,160.90364401044,32.931914839472,-61.11,51.8,0
"Technetium 100",proton,N00,final,P3,97.161752798514,90.715198401851,76.963091564848,-77.1,-47.5,0
"Technetium 100",proton,N00,final,P4,93.526372897747,90.353370605879,-81.419248339648,49.5,0,-82.55
"Technetium 100",proton,N00,final,P5,64.454572721364,141.40445419148,-1.7347624014123,-49.5,0,-82.55
"Technetium 100",proton,N00,final,P6,196.13502710225,86.598629394121,81.419248339648,-49.5,0,82.55
"Technetium 100",proton,N00,final,P7,225.20682727864,35.547545808524,1.7347624014123,49.5,0,82.55
"Technetium 100",proton,N00,final,P8,132.30082419798,178.15850438479,-62.027821537256,0,83.7,-71.005
"Technetium 100",proton,N00,final,P9,245.56515688502,131.01752813117,9.4967155029501,0,83.7,71.005
"Technetium 100",proton,N00,final,P11,142.42524471094,8.4912645633521,50.365845391314,0,-80.25,50
"Technetium 100",nuclet,N000,boron11,N000,233.97970197311,83.67594293502,-144.33762204589,0,0,0
"Technetium 100",proton,N000,boron11,P0,166.95081077842,76.196062407787,-231.57000242415,99.509090308119,47.5,0
"Technetium 100",proton,N000,boron11,P1,150.92299948617,37.423982678501,-141.61267868863,80.901699437495,-50,0
"Technetium 100",proton,N000,boron11,P2,331.62722639811,134.21961158966,-136.05465237616,-99.509090308119,47.5,0
"Technetium 100",proton,N000,boron11,P3,284.80626421762,84.597599899533,-63.957922552051,-80.901699437495,-50,0
"Technetium 100",proton,N000,boron11,P4,160.98554180843,127.02235799266,-149.00289542293,50,0,-68.766444521871
"Technetium 100",proton,N000,boron11,P5,243.72994993727,156.17725680754,-101.00961674244,-50,0,-68.766444521871
"Technetium 100",proton,N000,boron11,P6,306.97386213779,40.329527877375,-139.67234866884,-50,0,68.766444521871
"Technetium 100",proton,N000,boron11,P7,224.22945400896,11.1746290625,-187.66562734933,50,0,68.766444521871
"Technetium 100",proton,N000,boron11,P9,249.28901858826,105.20783699872,-183.81232740016,0,47.5,0
"Technetium 100",proton,N000,boron11,P11,230.89725744557,4.8865842714255,-91.16036686109,0,-80.901699437495,50
"Technetium 100",neutron,N000,boron11,U01,218.31495454961,199.01042851685,-187.39354695395,0,83.01417467238,-92.249050669476
"Technetium 100",nuclet,N001,beryllium,N001,148.91931470431,233.04491609584,88.809042147544,0,0,0
"Technetium 100",proton,N001,beryllium,P1,146.94960917024,167.48813640399,127.37435400345,64.721359549996,-40,0
"Technetium 100",proton,N001,beryllium,P3,110.18473317192,235.19578344976,23.357836313455,-64.721359549996,-40,0
"Technetium 100",proton,N001,beryllium,P4,228.86773860325,181.53623007005,89.244647298295,50,0,-80.901699437495
"Technetium 100",proton,N001,beryllium,P5,200.46530990433,233.84326403576,8.887468143516,-50,0,-80.901699437495
"Technetium 100",proton,N001,beryllium,P6,68.970890805373,284.55360212163,88.373436996794,-50,0,80.901699437495
"Technetium 100",proton,N001,beryllium,P7,97.373319504293,232.24656815592,168.73061615157,50,0,80.901699437495
